timestamp,event,details
2017-01-19 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.00 | Thresh: 3.00
2017-01-20 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.10 | Thresh: 3.00
2017-01-21 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.29 | Thresh: 3.00
2017-01-22 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.93 | Thresh: 3.00
2017-01-23 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.70 | Thresh: 3.00
2017-01-24 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.95 | Thresh: 3.00
2017-01-25 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.23 | Thresh: 3.00
2017-01-26 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.13 | Thresh: 3.00
2017-01-27 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.16 | Thresh: 3.00
2017-01-28 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.35 | Thresh: 3.00
2017-01-29 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.13 | Thresh: 3.00
2017-01-30 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.61 | Thresh: 3.00
2017-01-31 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.93 | Thresh: 3.00
2017-02-01 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.22 | Thresh: 3.00
2017-02-02 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.22 | Thresh: 3.00
2017-02-03 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.17 | Thresh: 3.00
2017-02-04 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.28 | Thresh: 3.00
2017-02-05 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.69 | Thresh: 3.00
2017-02-06 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.58 | Thresh: 3.00
2017-02-07 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.10 | Thresh: 3.00
2017-02-08 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.25 | Thresh: 3.00
2017-02-09 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.17 | Thresh: 3.00
2017-02-10 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.14 | Thresh: 3.00
2017-02-11 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.29 | Thresh: 3.00
2017-02-12 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.95 | Thresh: 3.00
2017-02-13 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.69 | Thresh: 3.00
2017-02-14 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.01 | Thresh: 3.00
2017-02-15 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.39 | Thresh: 3.00
2017-02-16 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.14 | Thresh: 3.00
2017-02-17 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.17 | Thresh: 3.00
2017-02-18 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.27 | Thresh: 1.70
2017-02-19 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.81 | Thresh: 1.71
2017-02-20 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.54 | Thresh: 1.71
2017-02-21 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.41 | Thresh: 1.80
2017-02-22 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.35 | Thresh: 1.80
2017-02-23 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.41 | Thresh: 1.72
2017-02-24 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.21 | Thresh: 1.72
2017-02-25 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.48 | Thresh: 1.72
2017-02-26 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.99 | Thresh: 1.76
2017-02-27 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.61 | Thresh: 1.76
2017-02-28 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.11 | Thresh: 1.74
2017-03-01 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.39 | Thresh: 1.74
2017-03-02 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.26 | Thresh: 1.68
2017-03-03 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.22 | Thresh: 1.68
2017-03-04 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.32 | Thresh: 1.68
2017-03-05 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.05 | Thresh: 1.69
2017-03-06 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.54 | Thresh: 1.69
2017-03-06 12:00:00+00:00,DRIFT_ADAPTATION,EWMA: 1.78 | Thresh: 1.76
2017-03-07 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.06 | Thresh: 1.76
2017-03-08 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.29 | Thresh: 1.76
2017-03-09 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.24 | Thresh: 1.68
2017-03-10 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.16 | Thresh: 1.68
2017-03-11 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.44 | Thresh: 1.68
2017-03-12 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.92 | Thresh: 1.70
2017-03-13 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.66 | Thresh: 1.70
2017-03-14 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.85 | Thresh: 1.71
2017-03-15 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.26 | Thresh: 1.71
2017-03-16 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.16 | Thresh: 1.68
2017-03-17 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.10 | Thresh: 1.68
2017-03-18 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.20 | Thresh: 1.68
2017-03-19 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.83 | Thresh: 1.68
2017-03-20 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.80 | Thresh: 1.68
2017-03-21 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.77 | Thresh: 1.68
2017-03-22 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.19 | Thresh: 1.68
2017-03-23 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.22 | Thresh: 1.54
2017-03-24 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.13 | Thresh: 1.54
2017-03-25 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.28 | Thresh: 1.54
2017-03-26 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.28 | Thresh: 1.66
2017-03-27 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.85 | Thresh: 1.67
2017-03-28 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.60 | Thresh: 1.68
2017-03-29 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.26 | Thresh: 1.68
2017-03-30 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.29 | Thresh: 1.66
2017-03-31 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.18 | Thresh: 1.66
2017-04-01 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.34 | Thresh: 1.66
2017-04-02 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.76 | Thresh: 1.66
2017-04-03 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.63 | Thresh: 1.66
2017-04-04 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.89 | Thresh: 1.71
2017-04-05 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.21 | Thresh: 1.71
2017-04-06 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.36 | Thresh: 1.59
2017-04-07 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.13 | Thresh: 1.59
2017-04-08 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.48 | Thresh: 1.59
2017-04-09 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.85 | Thresh: 1.61
2017-04-10 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.70 | Thresh: 1.61
2017-04-11 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.94 | Thresh: 1.71
2017-04-12 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.17 | Thresh: 1.71
