timestamp,event,details
2017-01-19 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.01 | Thresh: 3.00
2017-01-20 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.26 | Thresh: 3.00
2017-01-21 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.39 | Thresh: 3.00
2017-01-22 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.15 | Thresh: 3.00
2017-01-23 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.58 | Thresh: 3.00
2017-01-24 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.05 | Thresh: 3.00
2017-01-25 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.24 | Thresh: 3.00
2017-01-26 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.24 | Thresh: 3.00
2017-01-27 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.21 | Thresh: 3.00
2017-01-28 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.22 | Thresh: 3.00
2017-01-29 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.13 | Thresh: 3.00
2017-01-30 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.56 | Thresh: 3.00
2017-01-31 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.85 | Thresh: 3.00
2017-02-01 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.19 | Thresh: 3.00
2017-02-02 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.13 | Thresh: 3.00
2017-02-03 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.22 | Thresh: 3.00
2017-02-04 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.18 | Thresh: 3.00
2017-02-05 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.15 | Thresh: 3.00
2017-02-06 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.74 | Thresh: 3.00
2017-02-07 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.84 | Thresh: 3.00
2017-02-08 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.20 | Thresh: 3.00
2017-02-09 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.12 | Thresh: 3.00
2017-02-10 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.20 | Thresh: 3.00
2017-02-11 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.23 | Thresh: 3.00
