"order(p,d,q)","seasonal_order(P,D,Q,s)",BIC,AIC
"(1, 1, 1)","(1, 1, 1, 24)",10253.295298596235,10230.766378295593
"(0, 1, 1)","(1, 1, 1, 24)",10258.29826371893,10240.275127478419
"(1, 1, 1)","(0, 1, 1, 24)",10260.390505365844,10242.367369125332
"(0, 1, 1)","(0, 1, 1, 24)",10266.254962523099,10252.737610342714
"(1, 1, 0)","(1, 1, 1, 24)",10276.092111134953,10258.063000285412
"(1, 1, 0)","(0, 1, 1, 24)",10286.302390636763,10272.78055749961
"(0, 1, 0)","(1, 1, 1, 24)",10376.641481286964,10363.11964814981
"(0, 1, 0)","(0, 1, 1, 24)",10393.81607096477,10384.801515539999
"(1, 1, 0)","(1, 1, 0, 24)",10481.750905547235,10468.22907241008
"(1, 1, 1)","(1, 1, 0, 24)",10482.399777893464,10464.370667043924
"(0, 1, 1)","(1, 1, 0, 24)",10511.424700988375,10497.89839357746
"(0, 1, 0)","(1, 1, 0, 24)",10622.611219376515,10613.593681102571
"(1, 1, 1)","(0, 1, 0, 24)",10887.268701686995,10873.645611689426
"(0, 1, 1)","(0, 1, 0, 24)",10894.65883272991,10885.57677273153
"(1, 1, 0)","(0, 1, 0, 24)",10896.46365928305,10887.378715362036
"(0, 1, 0)","(0, 1, 0, 24)",11004.171232203396,10999.62876024289
