timestamp,event,details
2017-01-19 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.16 | Thresh: 3.00
2017-01-20 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.58 | Thresh: 3.00
2017-01-21 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.84 | Thresh: 3.00
2017-01-22 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.34 | Thresh: 3.00
2017-01-23 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.46 | Thresh: 3.00
2017-01-24 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.96 | Thresh: 3.00
2017-01-25 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.49 | Thresh: 3.00
2017-01-26 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.38 | Thresh: 3.00
2017-01-27 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.11 | Thresh: 3.00
2017-01-28 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.85 | Thresh: 3.00
2017-01-29 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.56 | Thresh: 3.00
2017-01-30 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.40 | Thresh: 3.00
2017-01-31 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.96 | Thresh: 3.00
2017-02-01 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.65 | Thresh: 3.00
2017-02-02 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.65 | Thresh: 3.00
2017-02-03 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.55 | Thresh: 3.00
2017-02-04 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.87 | Thresh: 3.00
2017-02-05 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.51 | Thresh: 3.00
2017-02-07 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 0.06 | Thresh: 3.00
2017-02-08 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.77 | Thresh: 3.00
2017-02-09 00:00:00+00:00,SCHEDULED_REFIT,EWMA: 1.80 | Thresh: 3.00
