"order(p,d,q)","seasonal_order(P,D,Q,s)",BIC,AIC
"(1, 1, 1)","(1, 1, 1, 24)",10550.19156595256,10527.662645651919
"(0, 1, 1)","(1, 1, 1, 24)",10602.731177759428,10584.708041518916
"(1, 1, 1)","(0, 1, 1, 24)",10613.77448575948,10595.751349518969
"(1, 1, 0)","(1, 1, 1, 24)",10622.611400716389,10604.582289866848
"(0, 1, 1)","(0, 1, 1, 24)",10663.079716742815,10649.562364562431
"(1, 1, 1)","(1, 1, 0, 24)",10685.772822055907,10667.743711206367
"(1, 1, 0)","(0, 1, 1, 24)",10715.465226519802,10701.943393382648
"(1, 1, 0)","(1, 1, 0, 24)",10743.708261288772,10730.186428151617
"(0, 1, 1)","(1, 1, 0, 24)",10758.266327290266,10744.740019879351
"(0, 1, 0)","(1, 1, 1, 24)",10903.42595480835,10889.904121671196
"(0, 1, 0)","(0, 1, 1, 24)",11015.500688448612,11006.486133023842
"(1, 1, 1)","(0, 1, 0, 24)",11037.986112661913,11024.363022664344
"(0, 1, 0)","(1, 1, 0, 24)",11090.211543753621,11081.194005479678
"(1, 1, 0)","(0, 1, 0, 24)",11106.069994809019,11096.985050888004
"(0, 1, 1)","(0, 1, 0, 24)",11111.043889176726,11101.961829178346
"(0, 1, 0)","(0, 1, 0, 24)",11447.326778689348,11442.784306728841
